key|ec2-com|Name|kuali DNS Name| ec2-status| uptime | disk | size | avail | used| percent|
|ks-testing|ec2-174-129-206-223.compute-1.amazonaws.com|appserv-1 (KS)|--|running|--||||||
|ks-key|ec2-50-19-187-43.compute-1.amazonaws.com|Jenkins CI Server|ci.ks.kuali.org|running| Timedout alarm||||||
|ks-key|ec2-67-202-51-70.compute-1.amazonaws.com|env4|env4.ks.kuali.org|running|  21:00:33 up 42 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-key|ec2-75-101-170-151.compute-1.amazonaws.com|deploy-1.2|--|running|--||||||
|ks-key|ec2-204-236-250-235.compute-1.amazonaws.com|env12|env12.ks.kuali.org|running|  21:00:42 up 33 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-testing|ec2-184-73-232-174.compute-1.amazonaws.com|dbserv-1|--|running|--||||||
|ks-testing|ec2-72-44-53-140.compute-1.amazonaws.com|appserv-3 (KS)|--|running|--||||||
|ks-testing|ec2-204-236-220-150.compute-1.amazonaws.com|appserv-2 (Rice)|--|running|--||||||
|ks-testing|ec2-174-129-51-226.compute-1.amazonaws.com|dbserv-3|--|running|--||||||
|ks-testing|ec2-50-19-43-1.compute-1.amazonaws.com|appserv-6|--|running|--||||||
|ks-testing|ec2-174-129-123-35.compute-1.amazonaws.com|appserv-5|--|running|--||||||
|ks-key|ec2-23-23-32-70.compute-1.amazonaws.com|env16|--|running|--||||||
|ks-testing|ec2-50-16-13-113.compute-1.amazonaws.com|appserv-4 (Rice)|--|running|--||||||
|ks-key|ec2-50-17-147-26.compute-1.amazonaws.com|env3|env3.ks.kuali.org|running|  21:00:44 up 33 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-testing|ec2-50-17-117-208.compute-1.amazonaws.com|embedserv|--|running|--||||||
|ks-testing|ec2-174-129-16-98.compute-1.amazonaws.com|driver-1|--|running|--||||||
|ks-key|ec2-54-224-255-243.compute-1.amazonaws.com|env6|env6.ks.kuali.org|running|  21:00:35 up 42 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-key|ec2-174-129-124-37.compute-1.amazonaws.com|env2|--|running|--||||||
|ks-key|ec2-50-17-40-108.compute-1.amazonaws.com|standalone-deploy|standalone.ks.kuali.org|running|  16:57:47 up 367 days| /dev/sda1|50G|17G|31G|36%|
|ks-key|ec2-54-242-176-208.compute-1.amazonaws.com|env11|env11.ks.kuali.org|running|  21:00:40 up 33 days| /dev/xvda1|25G|2.8G|22G|12%|
|ks-key|ec2-50-16-75-89.compute-1.amazonaws.com|env7|env7.ks.kuali.org|running|  21:00:49 up 7 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-testing|ec2-75-101-237-43.compute-1.amazonaws.com|dbserv-2|--|running|--||||||
|ks-key|ec2-50-16-132-150.compute-1.amazonaws.com|deploy-1.3|--|running|--||||||
|ks-key|ec2-184-72-90-191.compute-1.amazonaws.com|env15|--|running|--||||||
|ks-key|ec2-23-22-152-140.compute-1.amazonaws.com|env1|env1.ks.kuali.org|running|  21:00:30 up 42 days| /dev/xvda1|25G|3.1G|22G|13%|
|ks-key|ec2-54-224-165-253.compute-1.amazonaws.com|env14|--|running|--||||||
|ks-key|ec2-50-17-24-152.compute-1.amazonaws.com|ks-uim-sample|--|running|--||||||
|ks-key|ec2-107-20-91-69.compute-1.amazonaws.com|--|--|running|--||||||
|ks-key|ec2-107-21-148-4.compute-1.amazonaws.com|--|--|running|--||||||
|ks-key|ec2-107-21-74-59.compute-1.amazonaws.com|env5|staging.ks.kuali.org|running|  20:59:28 up 355 days| /dev/xvda1|25G|2.3G|23G|10%|
|ks-key|ec2-50-17-139-146.compute-1.amazonaws.com|--|--|running|--||||||
|ks-key|ec2-107-21-77-57.compute-1.amazonaws.com|--|--|running|--||||||
|ks-key|ec2-107-22-131-14.compute-1.amazonaws.com|env8|--|running|--||||||
|ks-key|ec2-50-19-44-102.compute-1.amazonaws.com|env9|demo.ks.kuali.org|running|  20:59:56 up 260 days| /dev/xvda1|25G|3.0G|22G|13%|
|ks-key|ec2-23-22-194-74.compute-1.amazonaws.com|env10|--|running|--||||||
|ks-key|ec2-50-16-178-188.compute-1.amazonaws.com|env13|--|running|--||||||
|ks-key|ec2-23-22-202-228.compute-1.amazonaws.com|temp-server-for-jc|jc.ks.kuali.org|running|  21:00:03 up 142 days| /dev/xvda1|7.9G|3.1G|4.8G|40%|
|kr-key|ec2-107-20-56-8.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-54-226-138-15.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-22-69-121.compute-1.amazonaws.com|TestMonday - proteus|--|running|--||||||
|kr-key|ec2-50-16-142-92.compute-1.amazonaws.com|TestMonday - rosalind|--|running|--||||||
|kr-key|ec2-50-16-65-43.compute-1.amazonaws.com|cots-cots-store|--|running|--||||||
|kr-key|ec2-50-17-117-223.compute-1.amazonaws.com|env11|env11.rice.kuali.org|running|  20:54:33 up 44 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-174-129-112-216.compute-1.amazonaws.com|env12|env12.rice.kuali.org|running|  20:54:36 up 40 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-54-226-126-238.compute-1.amazonaws.com|cots-9-ami|--|running|--||||||
|kr-key|ec2-23-20-181-150.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-21-26-82.compute-1.amazonaws.com|env13|env13.rice.kuali.org|running|  20:54:43 up 36 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-184-72-133-245.compute-1.amazonaws.com|env7|env7.rice.kuali.org|running|  20:54:41 up 36 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-54-226-70-128.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-20-222-143.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-22-248-93.compute-1.amazonaws.com|env8|env8.rice.kuali.org|running|  20:54:38 up 36 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-174-129-109-246.compute-1.amazonaws.com|env1|env1.rice.kuali.org|running|  20:54:29 up 44 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-54-225-29-157.compute-1.amazonaws.com|env2|env2.rice.kuali.org|running|  20:54:31 up 44 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-54-234-151-190.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-22-222-214.compute-1.amazonaws.com|ci.fn|ci.fn.kuali.org|running|  21:08:23 up 259 days| /dev/xvda1|99G|57G|41G|59%|
|kr-key|ec2-50-19-201-97.compute-1.amazonaws.com|env6|demo.rice.kuali.org|running|  20:54:45 up 33 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-23-22-228-181.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-50-16-21-133.compute-1.amazonaws.com|--|--|running|--||||||
|kr-key|ec2-23-20-78-128.compute-1.amazonaws.com|env10|env10.rice.kuali.org|running|  20:54:26 up 44 days| /dev/xvda1|25G|2.9G|22G|12%|
|kr-key|ec2-23-22-33-206.compute-1.amazonaws.com|env5|env5.rice.kuali.org|running|  20:52:04 up 397 days| /dev/xvda1|25G|2.1G|23G|9%|
|kr-key|ec2-23-21-7-214.compute-1.amazonaws.com|env9|env9.rice.kuali.org|running|  20:52:06 up 186 days| /dev/xvda1|25G|2.2G|23G|9%|
|kr-key|ec2-107-22-133-235.compute-1.amazonaws.com|env3|env3.rice.kuali.org|running|  20:52:09 up 346 days| /dev/xvda1|25G|2.1G|23G|9%|
|kr-key|ec2-23-20-220-86.compute-1.amazonaws.com|env4|env4.rice.kuali.org|running|  20:52:11 up 356 days| /dev/xvda1|25G|2.2G|23G|9%|
|kr-key|ec2-204-236-253-122.compute-1.amazonaws.com|ci.ws.server|ws.rice.kuali.org|running|  20:52:42 up 130 days| /dev/xvde1|252G|60G|180G|26%|
|--|ec2-204-236-196-78.compute-1.amazonaws.com|ricesampleapp|--|running|--||||||
|kr-key|ec2-50-16-15-22.compute-1.amazonaws.com|env14|env14.rice.kuali.org|running|  20:53:56 up 242 days| /dev/xvda1|25G|2.8G|22G|12%|
|kr-key|ec2-50-19-200-109.compute-1.amazonaws.com|ci.rice|ci.rice.kuali.org|running|  20:54:24 up 31 days| /dev/xvde1|493G|355G|114G|76%|
